time,lambda,mu,c
05:00-06:00,6.7142857143,5.0133333333,3
06:00-07:00,7.2142857143,4.7013188518,5
07:00-08:00,8.2142857143,4.9462365591,5
08:00-09:00,8.7857142857,4.8172323760,5
09:00-10:00,9.2142857143,4.8526645768,5
10:00-11:00,13.0714285714,4.7470817121,5
11:00-12:00,9.2857142857,4.5936395760,2
12:00-13:00,9.7142857143,4.5132743363,3
13:00-14:00,12.9285714286,5.1689671585,5
14:00-15:00,10.0000000000,4.8723897912,5
15:00-16:00,6.9285714286,4.6897663175,5
16:00-17:00,6.6428571429,4.9076517150,5
17:00-18:00,5.5714285714,4.5304937076,2
